Supplementary Data 1. Gene expression in each cluster within cells expressing CD8A,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
FGFBP2,6.14680711951026e-128,0.401612803,0.936,0.763,1.03272506414892e-123,0
GNLY,2.44900605363469e-126,0.272596831,0.999,0.886,4.11457507071164e-122,0
GZMH,7.67593336527538e-105,0.301926579,0.982,0.859,1.28963356469992e-100,0
NKG7,3.72250668553955e-100,0.256949245,1,0.96,6.254183482375e-96,0
GZMB,5.45131551171931e-86,0.384153016,0.871,0.714,9.15875519123962e-82,0
PRSS23,1.32032551224589e-47,0.381975458,0.47,0.332,2.21827889312433e-43,0
ITGB1,1.4356940274848e-40,0.351075558,0.712,0.603,2.41210953557721e-36,0
PLEK,3.11670162870963e-27,0.25520841,0.674,0.6,5.23637040639504e-23,0
ZNF683,2.51043086735783e-24,0.398568539,0.288,0.195,4.2177749002479e-20,0
KLRC4,3.5087399388061e-20,0.297876979,0.394,0.323,5.89503397118812e-16,0
C1orf21,3.83388964469894e-20,0.273921318,0.36,0.271,6.44131799205869e-16,0
ACTB,0,1.164398004,1,0.992,0,1
ACTG1,9.45495090073282e-283,0.964260514,0.99,0.913,1.58852630083212e-278,1
PFN1,6.49559079234769e-260,0.753074979,0.997,0.983,1.09132420902233e-255,1
CFL1,4.28436110441968e-151,0.610091627,0.991,0.951,7.1981550915355e-147,1
CORO1A,4.59890684968864e-106,0.656064834,0.925,0.801,7.72662339816189e-102,1
HCST,6.12531206502661e-95,0.551275406,0.971,0.885,1.02911368004512e-90,1
LCP1,1.17340142983254e-76,0.623226525,0.847,0.695,1.97143174226165e-72,1
SH3BGRL3,3.232887309042e-74,0.394473473,0.999,0.981,5.43157396792147e-70,1
GZMA,1.14744774495672e-71,0.559279311,0.929,0.803,1.92782695630178e-67,1
S100A4,1.25802765177717e-71,0.44494424,0.996,0.965,2.11361225775082e-67,1
TPM4,9.7203076627223e-68,0.774112447,0.417,0.182,1.63310889041397e-63,1
CLIC1,1.59064091459762e-67,0.569088734,0.884,0.735,2.67243580061547e-63,1
CNN2,1.04998593034768e-66,0.611818768,0.704,0.498,1.76408136157714e-62,1
MYL12A,1.49072301581303e-59,0.492767602,0.945,0.873,2.50456373886747e-55,1
ARPC1B,8.87201327270036e-59,0.52450229,0.855,0.711,1.49058694994639e-54,1
IFITM1,6.30235715465155e-56,0.410652183,0.971,0.92,1.05885902555301e-51,1
MYL6,8.69896386454578e-56,0.433298893,0.95,0.88,1.46151291888234e-51,1
ARPC2,6.82971180127256e-55,0.472383368,0.926,0.833,1.1474598797318e-50,1
CTSW,1.87506305132839e-51,0.403099575,0.971,0.909,3.15029343253682e-47,1
CAP1,1.92872973686054e-45,0.547701943,0.695,0.527,3.24045883089939e-41,1
ARHGDIB,4.29042517648612e-45,0.388050194,0.953,0.89,7.20834333901432e-41,1
RAC2,3.94074209007179e-44,0.426354603,0.909,0.818,6.62084078552962e-40,1
ZYX,1.13176998217625e-43,0.594161233,0.59,0.408,1.90148674705432e-39,1
WDR1,3.20506128120609e-43,0.588950584,0.614,0.411,5.38482345855435e-39,1
IFITM2,4.06007028304156e-43,0.447931494,0.874,0.758,6.82132408253813e-39,1
GZMH1,9.99781634383699e-39,0.331581784,0.979,0.873,1.67973312392805e-34,1
CISD3,4.68638315959164e-38,0.571233793,0.394,0.213,7.87359234642992e-34,1
CALM1,7.83021818046943e-38,0.333002212,0.974,0.938,1.31555495650067e-33,1
CD3D,8.91932627821139e-38,0.395438506,0.911,0.83,1.4985360080023e-33,1
CALR,2.11199295668908e-37,0.531651013,0.794,0.678,3.54835936653333e-33,1
ACTR3,2.3984603839393e-34,0.530547807,0.62,0.459,4.02965329105641e-30,1
IL32,2.77628788144815e-32,0.287617568,0.984,0.965,4.66444126962103e-28,1
CAPZB,3.42546644986283e-29,0.404359955,0.773,0.638,5.75512618241454e-25,1
PPIB,6.27879869123596e-29,0.360159317,0.87,0.782,1.05490096811455e-24,1
COTL1,1.11879617313988e-26,0.393710102,0.471,0.321,1.87968945049231e-22,1
CD99,1.41763664205427e-26,0.29768559,0.945,0.873,2.38177132231539e-22,1
ITGB2,1.6493865166896e-26,0.356237549,0.901,0.822,2.7711342866902e-22,1
SPN,3.30328087547814e-26,0.469941445,0.559,0.393,5.54984219889082e-22,1
CCND3,4.02867091410925e-26,0.423859944,0.732,0.589,6.76857000279494e-22,1
TPM3,1.3421698643077e-25,0.309884714,0.88,0.81,2.25497958902337e-21,1
PPP1CA,7.34616032314799e-25,0.378590558,0.775,0.663,1.23422839589209e-20,1
CYBA,5.15581354017835e-23,0.270231391,0.971,0.928,8.66228232885365e-19,1
AGTRAP,7.49590208514434e-23,0.42491996,0.346,0.21,1.2593865093251e-18,1
S100A6,1.33734045087596e-22,0.290571518,0.954,0.915,2.2468656915167e-18,1
CD52,1.38195138923082e-22,0.263129944,0.963,0.919,2.32181652904669e-18,1
RHOA,3.20053851792227e-22,0.352050648,0.849,0.755,5.37722476396121e-18,1
EMP3,8.43157932276398e-22,0.343252756,0.87,0.776,1.41658964201758e-17,1
ARPC5,1.52432052910373e-20,0.417059213,0.602,0.463,2.56101092094717e-16,1
MYL12B,3.26182367054903e-20,0.346439426,0.809,0.712,5.48018994888942e-16,1
VASP,3.80699960042036e-20,0.418856495,0.361,0.231,6.39614002866624e-16,1
VIM,3.85379861091064e-20,0.293899911,0.842,0.756,6.47476704619096e-16,1
GSTP1,1.36657232671605e-19,0.329179106,0.765,0.642,2.29597816611564e-15,1
XBP1,3.70884031873406e-19,0.409596525,0.465,0.334,6.23122261950509e-15,1
ARPC4,3.50148511051266e-18,0.360141785,0.619,0.487,5.88284513417232e-14,1
PRELID1,4.7564483096505e-18,0.370945995,0.562,0.422,7.99130880504381e-14,1
ARPC3,5.53396335726898e-17,0.29172513,0.815,0.711,9.29761183654761e-13,1
SDF2L1,9.13591577919036e-17,0.37786978,0.337,0.215,1.53492521006177e-12,1
DOK2,1.64148303854457e-16,0.402781137,0.406,0.281,2.75785565305873e-12,1
CTSC,1.82169691191139e-16,0.374721653,0.638,0.507,3.06063298170232e-12,1
SPON2,2.30361203327909e-16,0.320216635,0.717,0.558,3.8702985771122e-12,1
CD53,3.38761959108425e-16,0.351746682,0.626,0.516,5.69153967498065e-12,1
ANXA2,9.9276287587926e-16,0.367585904,0.449,0.312,1.66794090776474e-11,1
APOBEC3G,1.63621334242332e-15,0.389373005,0.455,0.324,2.74900203660542e-11,1
GZMM,1.73427844192629e-15,0.26161461,0.864,0.773,2.91376121028036e-11,1
LGALS1,5.86035890853652e-15,0.47037492,0.635,0.518,9.8459890022322e-11,1
SIT1,6.55321123239713e-15,0.34347533,0.316,0.209,1.10100501915504e-10,1
PSME2,7.7053138551956e-15,0.321641635,0.639,0.514,1.29456978081141e-10,1
PDLIM2,1.7052033616741e-14,0.364890467,0.303,0.203,2.86491216794865e-10,1
FERMT3,3.06881363923385e-14,0.329102097,0.405,0.276,5.15591379527679e-10,1
CD63,6.76271969298574e-14,0.312221182,0.458,0.343,1.13620453561853e-09,1
PPP1R18,9.14458854411581e-14,0.32863929,0.571,0.44,1.5363823212969e-09,1
GNG2,2.19800918577311e-13,0.334961366,0.584,0.465,3.6928752330174e-09,1
ABI3,2.3345475273022e-13,0.33926131,0.393,0.262,3.92227330062042e-09,1
S100A11,2.58738201386481e-13,0.345304399,0.507,0.384,4.34706052149427e-09,1
PTGDR,3.10596704509437e-13,0.358896153,0.372,0.255,5.21833523246306e-09,1
ANXA6,4.24694173273199e-12,0.301357081,0.659,0.552,7.13528680516301e-08,1
TUBB,5.45986037702556e-12,0.3194513,0.497,0.391,9.17311141944064e-08,1
RNF167,5.63995834605372e-12,0.302573992,0.464,0.351,9.47569401720485e-08,1
PSMA7,1.22255490011152e-11,0.267844268,0.657,0.542,2.05401448767737e-07,1
LAT,5.06574285191843e-11,0.260695984,0.648,0.55,8.51095456550816e-07,1
DAD1,5.5118965349439e-11,0.262115075,0.484,0.388,9.26053736835924e-07,1
DBI,5.79761454393921e-11,0.281065517,0.59,0.469,9.74057219527227e-07,1
PDIA3,6.99253119784108e-11,0.274981425,0.713,0.616,1.17481516654928e-06,1
GLIPR2,9.57271997542549e-11,0.318366436,0.31,0.207,1.60831268307124e-06,1
DHRS7,1.28975686634273e-10,0.266452415,0.517,0.402,2.16692051114242e-06,1
RGS19,7.71632612317246e-10,0.290649929,0.353,0.259,1.2964199519542e-05,1
MATK,2.05682678523844e-09,0.251075554,0.52,0.42,3.4556746818791e-05,1
ATP5MF,2.2490580176245e-09,0.281824366,0.455,0.358,3.77864237541092e-05,1
BCAP31,2.61815441991152e-09,0.258333166,0.529,0.427,4.39876124089335e-05,1
