Supplementary Data 2A. Differential gene expression in CD8A+ T cells at pre-treatment vs 4 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
JUN,1.0666215807645e-149,2.065541148,0.917,0.494,1.79203091784244e-145
DUSP1,5.52946594584278e-84,1.274422961,0.899,0.594,9.29005573561046e-80
FOSB,8.98248149208377e-54,1.214969968,0.505,0.166,1.50914671548499e-49
FOS,1.62173991654388e-53,1.168325577,0.824,0.481,2.72468523378536e-49
KLF6,7.5205527461417e-47,0.802250369,0.912,0.847,1.26352806687927e-42
JUND,1.0458601415812e-44,0.662611351,0.956,0.852,1.75714962387057e-40
PPP1R15A,1.31084776084343e-44,0.92118457,0.748,0.503,2.20235532299305e-40
TSC22D3,1.8751482942657e-42,0.72270092,0.91,0.842,3.1504366491958e-38
EIF1,2.03534391426447e-28,0.321733916,0.982,0.988,3.41958131035574e-24
TUBA1A,6.13801360581697e-24,0.719360563,0.578,0.416,1.03124766591331e-19
NFKBIA,1.14810698399667e-23,0.795979119,0.666,0.579,1.92893454381281e-19
JUNB,2.30163565186149e-22,0.745231596,0.852,0.769,3.8669780586925e-18
PNRC1,1.31643273876393e-20,0.351182656,0.959,0.948,2.21173864439728e-16
GADD45B,1.27156974403144e-19,0.66215567,0.64,0.476,2.13636432694721e-15
IER5,8.81036780560255e-17,0.545978062,0.265,0.118,1.48022989501928e-12
KLF2,3.87956644222923e-15,0.378698365,0.901,0.872,6.51805957958932e-11
CITED2,1.66152249659843e-13,0.53142565,0.485,0.387,2.79152394653502e-09
IER2,5.15483342292142e-13,0.443184877,0.764,0.682,8.66063563385028e-09
IFNG,4.20765473459567e-12,0.600961276,0.279,0.169,7.06928071959419e-08
NKG7,2.70625387041726e-11,0.187957922,0.941,0.922,4.54677712768804e-07
UBC,3.05068088648588e-11,0.212717372,0.971,0.98,5.12544895738492e-07
TNFAIP3,4.50117273830952e-11,0.521230415,0.669,0.576,7.56242031763382e-07
SLC38A2,5.14248814914785e-10,0.413718664,0.329,0.194,8.63989433938331e-06
RPL36AL,5.9246792632416e-10,-0.222976844,0.904,0.939,9.95405363017221e-06
TXNIP,8.51977923384732e-10,-0.238010117,0.883,0.945,1.43140810907869e-05
GAPDH,8.61791740724355e-10,0.233862618,0.961,0.962,1.44789630359099e-05
GIMAP5,2.74116736823993e-09,-0.417487214,0.241,0.366,4.6054352953799e-05
