Supplementary Data 2B. Differential gene expression in CD8A+ T cells at pre-treatment vs 8 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NKG7,1.73615517510125e-29,0.253740728,0.945,0.922,2.9169143096876e-25
CXCR4,1.35897843173928e-28,-0.618515407,0.393,0.592,2.28321966316517e-24
H3F3B,2.66390478867343e-27,-0.379688611,0.937,0.973,4.47562643545022e-23
FLNA,2.14102483168151e-23,0.47671837,0.822,0.787,3.59713581970811e-19
GZMB,4.84565235152164e-21,0.378334593,0.725,0.662,8.14118051579151e-17
PFN1,6.35966284005167e-20,0.178751696,0.976,0.989,1.06848695375708e-15
IL7R,5.93111130183864e-19,-0.374472821,0.407,0.542,9.96486009821909e-15
SPON2,9.83869823525209e-19,0.399694147,0.599,0.514,1.6529996905047e-14
TNF,1.17256142858839e-17,-0.878180104,0.232,0.374,1.97002045617136e-13
DUSP2,9.88211852071518e-17,-0.541778543,0.434,0.577,1.66029473266536e-12
ZFP36L2,1.40093961515253e-16,-0.391470334,0.762,0.877,2.35371864741777e-12
ABHD17A,2.43311710532666e-16,0.306348106,0.774,0.737,4.08788004865933e-12
ZFP36,1.01165910676847e-15,-0.484688968,0.54,0.7,1.69968846528171e-11
GZMH,1.08695345166464e-15,0.198487895,0.849,0.795,1.82619049414177e-11
FGFBP2,1.28541521194578e-15,0.187030803,0.769,0.725,2.1596260975901e-11
CFL1,2.56052309827668e-15,0.188129825,0.951,0.963,4.30193485741465e-11
EEF1A1,8.40364562412967e-15,-0.106901716,0.999,0.999,1.41189650131003e-10
MALAT1,9.38344969219563e-15,0.308852757,1,0.998,1.57651338278579e-10
HIST1H1E,1.11499099710759e-14,0.534172416,0.666,0.621,1.87329637424046e-10
CCDC88C,1.91601992347037e-14,0.301684186,0.447,0.431,3.21910507342257e-10
SH3BGRL3,1.13776561298443e-13,0.138930311,0.978,0.992,1.91156000637514e-09
SRSF7,1.14892894628659e-13,-0.364928193,0.555,0.719,1.9303155226561e-09
MYL12A,1.70437461684026e-13,-0.276953091,0.89,0.964,2.86351979375332e-09
TCF7,2.36200808782662e-13,-0.197572862,0.152,0.241,3.96840978835751e-09
LTB,2.36251024316405e-13,-0.374147208,0.201,0.283,3.96925345953992e-09
MT-CYB,5.3669486719161e-13,0.029247615,0.985,0.985,9.01701046368625e-09
SARAF,5.55519456712001e-13,-0.321444579,0.663,0.808,9.33328239221833e-09
HNRNPA0,9.53421325486938e-13,-0.250269586,0.48,0.646,1.6018431689506e-08
TPM3,1.76364299613925e-12,0.209365427,0.842,0.849,2.96309659781356e-08
BLOC1S1,1.79230581789755e-12,0.301545906,0.451,0.412,3.01125300464967e-08
PCBP1,2.18513316673543e-12,-0.333348517,0.635,0.793,3.67124223343219e-08
RNF213,4.62497245170428e-12,0.357995305,0.671,0.651,7.77041621610836e-08
S100A4,1.23485301366313e-11,0.128776775,0.96,0.985,2.07467654825542e-07
GNLY,1.98238921869048e-11,0.113565372,0.88,0.83,3.33061212632188e-07
UBC,2.94657055316342e-11,-0.223129203,0.939,0.98,4.95053318636987e-07
ARF1,3.03694928617544e-11,-0.282062144,0.549,0.717,5.10237849570336e-07
PNPLA2,3.43693629063722e-11,-0.271383514,0.179,0.305,5.77439666189959e-07
TMED9,3.60997549904581e-11,-0.106519035,0.349,0.471,6.06511983594686e-07
IKZF1,3.99641793751409e-11,0.14426601,0.494,0.544,6.71438177681742e-07
SRSF3,5.05884899372842e-11,-0.226572788,0.357,0.507,8.49937219436313e-07
ELOB,5.96915825363441e-11,0.193670547,0.689,0.711,1.00287827819312e-06
BCAS2,6.79356087195288e-11,-0.164724887,0.124,0.212,1.1413861620968e-06
PPIG,7.49054829373624e-11,-0.173652495,0.224,0.335,1.25848701883063e-06
CD3D,1.08104253619878e-10,0.130752174,0.846,0.886,1.81625956506757e-06
CD7,1.28743223823714e-10,-0.246572825,0.406,0.539,2.16301490346221e-06
TAF10,1.28763970044018e-10,0.103963411,0.566,0.627,2.16336346070954e-06
TIMP1,1.73312694311834e-10,-0.257879309,0.218,0.337,2.91182657713312e-06
MT-ND6,1.94482485875401e-10,0.462318087,0.551,0.481,3.26750024519262e-06
CTSW,2.90339069810756e-10,0.143250065,0.881,0.907,4.87798671189051e-06
GK5,3.17920434460676e-10,0.354053594,0.192,0.177,5.34138121937381e-06
TENT5C,3.192190169773e-10,-0.304683411,0.141,0.245,5.36319870423561e-06
CDKN1B,3.2296652547299e-10,-0.252716555,0.294,0.431,5.42616059447171e-06
MACF1,3.25580205020111e-10,0.384829214,0.485,0.423,5.47007302454289e-06
ITM2B,3.4093147953242e-10,-0.187006268,0.815,0.919,5.72798978762419e-06
MSN,4.00029454313604e-10,0.134962612,0.654,0.698,6.72089486192286e-06
S1PR1,4.25846150318696e-10,-0.326990668,0.237,0.379,7.1546411715044e-06
SAP18,4.62125253136595e-10,-0.25188481,0.468,0.622,7.76416637794793e-06
ZYX,5.18866662142719e-10,-0.241392017,0.383,0.533,8.71747879065983e-06
CYBA,6.18756521275287e-10,0.155482617,0.93,0.952,1.03957283139461e-05
CD74,6.51339355805865e-10,0.265294656,0.773,0.797,1.09431525168943e-05
SRP9,6.66401911965781e-10,-0.269375495,0.29,0.435,1.11962185229371e-05
NR4A2,7.39684864739287e-10,-0.459156757,0.168,0.28,1.24274454124848e-05
TMBIM4,9.64391898516277e-10,-0.178086124,0.277,0.399,1.6202748286972e-05
CYB561,1.06018986261841e-09,-0.148408754,0.044,0.1,1.78122498818519e-05
TLN1,1.12648718858401e-09,0.283384314,0.634,0.591,1.89261112554e-05
ARPC1B,1.14867899086785e-09,0.115918572,0.77,0.809,1.92989557255707e-05
AC007952.4,1.16918499699447e-09,-0.311766978,0.041,0.107,1.96434771345041e-05
CMC1,1.43565626605629e-09,-0.071874606,0.21,0.293,2.41204609260118e-05
GAPDH,1.61948043129739e-09,0.120289548,0.93,0.962,2.72088907262275e-05
APRT,1.74956378600817e-09,0.097535921,0.601,0.659,2.93944211687232e-05
C7orf50,1.7635005000068e-09,-0.194966434,0.132,0.223,2.96285719006142e-05
WTAP,2.07318408339264e-09,-0.199502678,0.288,0.412,3.48315657850797e-05
CD69,2.55990616762394e-09,-0.381315328,0.352,0.472,4.30089835222498e-05
STOM,2.90292817413774e-09,-0.313261023,0.277,0.419,4.87720962536882e-05
OSTC,2.9590432954903e-09,-0.149581104,0.227,0.331,4.97148864075326e-05
PBXIP1,3.22299872123088e-09,-0.167313218,0.279,0.388,5.41496015154e-05
PNRC2,3.26072548951132e-09,0.169824385,0.3,0.31,5.47834489492797e-05
SH2D2A,3.34023269550279e-09,0.207857719,0.399,0.386,5.61192495171423e-05
CSNK2B,3.36922032604372e-09,-0.020549504,0.469,0.562,5.66062706978606e-05
PSMA6,3.49141132479767e-09,-0.022841849,0.332,0.412,5.86592016679256e-05
IKZF3,3.65645418454786e-09,0.280568328,0.362,0.354,6.14320867545887e-05
