Supplementary Data 2C. Differential gene expression in CD8A+ T cells at pre-treatment vs 12 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FOS,3.26813515368851e-96,1.035187575,0.836,0.481,5.49079387171207e-92
JUNB,4.6485675865446e-93,1.014244599,0.897,0.769,7.81005840215358e-89
FOSB,1.49821795773367e-77,1.137934347,0.513,0.166,2.51715599078834e-73
CCL4,1.9923940163225e-76,1.617327313,0.788,0.602,3.34742118682343e-72
JUN,7.08000026682082e-68,1.143123931,0.785,0.494,1.18951084482857e-63
NR4A2,1.58144406726119e-55,1.052040183,0.606,0.28,2.65698417740552e-51
DUSP1,1.28514861965287e-44,0.665537736,0.818,0.594,2.1591781958788e-40
HSPA8,1.23025489839192e-36,0.497929107,0.93,0.88,2.06695125478826e-32
GADD45B,4.65499211441432e-36,0.87437785,0.66,0.476,7.82085225142749e-32
BRD2,5.23309250711383e-35,0.734976151,0.645,0.421,8.79211872120194e-31
IER2,1.15658237382169e-31,0.609133793,0.807,0.682,1.94317404625782e-27
TMSB4X,5.6671128259748e-31,-0.134696849,0.996,0.999,9.52131625892026e-27
BTG2,8.41562627140881e-31,0.744594748,0.555,0.347,1.41390936985939e-26
IFNG,1.37907625147388e-29,1.012397897,0.394,0.169,2.31698601010127e-25
NR4A1,9.63126847534477e-29,0.581315931,0.173,0.041,1.61814941654267e-24
NR4A3,8.5830357090139e-26,0.528034028,0.189,0.044,1.44203582947143e-21
ZFP36L1,9.21092608480201e-26,0.667069413,0.668,0.509,1.54752769150759e-21
ZFP36,6.04906437766641e-25,0.528823926,0.805,0.7,1.01630330609173e-20
SERTAD1,2.89650530466397e-24,0.703699077,0.379,0.173,4.86641856236593e-20
PNRC1,4.22347222756719e-24,0.308348403,0.955,0.948,7.09585568953563e-20
TSC22D3,4.57988292298095e-24,0.453244228,0.902,0.842,7.6946612989003e-20
TAGAP,2.14999680343262e-23,0.566044236,0.663,0.468,3.61220962944714e-19
IER5L,5.26921295037953e-23,0.445191968,0.162,0.039,8.85280467793264e-19
NFKBIA,5.58780800958999e-22,0.593033955,0.706,0.579,9.38807623691214e-18
SRSF2,3.91868712002388e-21,0.506215146,0.705,0.57,6.58378623035212e-17
UBE2S,5.03289736874156e-21,0.605276477,0.445,0.249,8.45577086922269e-17
H2AFX,5.85185037218556e-21,0.500918889,0.28,0.119,9.83169381030896e-17
MYL12A,2.43456372274269e-20,-0.17399671,0.937,0.964,4.09031051058e-16
AC020916.1,4.98467098909946e-20,0.558495422,0.338,0.163,8.37474572878601e-16
CKS2,9.8754808430308e-20,0.384875349,0.12,0.018,1.6591795364376e-15
B2M,5.23623213443199e-18,-0.004981958,0.996,1,8.79739360905918e-14
GZMB,5.71728838878653e-18,0.588295897,0.796,0.662,9.60561622200024e-14
MT-ND3,1.86634999713192e-17,-0.591294721,0.874,0.955,3.13565463018134e-13
IL32,2.46658234967126e-17,-0.172836211,0.971,0.984,4.14410500568268e-13
SLC38A2,5.98071599028323e-17,0.465028128,0.36,0.194,1.00482009352749e-12
MT-CYB,3.1935249500986e-16,-0.547140829,0.967,0.985,5.36544126866066e-12
CITED2,7.60003008598242e-16,0.513891407,0.541,0.387,1.27688105474591e-11
UBC,2.4825904997431e-15,0.255232464,0.97,0.98,4.17100029861838e-11
SRSF7,1.29714582578765e-14,0.344816134,0.78,0.719,2.17933470190583e-10
DNAJA1,2.86848353880542e-14,0.475965084,0.476,0.299,4.81933919354698e-10
ACTB,3.23126893931144e-14,-0.040246199,0.991,0.998,5.42885494493714e-10
CXCR4,1.14387397338625e-13,0.378471186,0.634,0.592,1.92182266268624e-09
UCP2,1.77036061521183e-13,-0.252075415,0.614,0.666,2.97438286961739e-09
TUBB4B,1.8443971594212e-13,0.472128465,0.407,0.244,3.09877166754356e-09
HIST1H4C,2.19306181940617e-13,0.454207217,0.491,0.356,3.68456316278431e-09
AC007952.4,4.70505232041855e-13,0.397458999,0.231,0.107,7.9049584035352e-09
PTGDR,5.12704528979903e-13,-0.320865735,0.287,0.371,8.61394879139134e-09
POLR2A,7.31829777400106e-13,0.423649902,0.356,0.218,1.22954720900992e-08
NCBP2AS2,1.21368662341906e-12,-0.266392713,0.191,0.291,2.03911489600637e-08
TNFAIP3,1.48030956716684e-12,0.399887357,0.674,0.576,2.48706810379702e-08
SLC25A20,1.56045257051923e-12,-0.240293148,0.109,0.181,2.62171636372935e-08
IER5,2.11988614616361e-12,0.423722309,0.242,0.118,3.56162071416948e-08
TXNIP,2.30100356242332e-12,-0.27502913,0.896,0.945,3.86591608522742e-08
H2AFZ,3.70854377102872e-12,0.435983451,0.621,0.475,6.23072438970535e-08
FLNA,4.92988872782713e-12,0.31942176,0.855,0.787,8.28270605162237e-08
EGR1,5.08484704943689e-12,0.377492435,0.139,0.055,8.54305152775892e-08
RPL36AL,9.65779335216068e-12,-0.222043632,0.9,0.939,1.62260586109652e-07
INTS6,1.59449517385987e-11,0.374225571,0.345,0.208,2.67891134160196e-07
MT2A,1.77431320620076e-11,-0.275482638,0.551,0.596,2.9810236177379e-07
PLAC8,1.98995722942309e-11,-0.275045528,0.314,0.374,3.34332714115373e-07
KLF6,2.05090187121459e-11,0.270446567,0.878,0.847,3.44572023382764e-07
MT-ND4,2.67429054311547e-11,-0.520855764,0.828,0.896,4.49307554148831e-07
MTRNR2L12,3.03225043389301e-11,-0.500333911,0.969,0.99,5.09448395398365e-07
AC245014.3,4.17861119071868e-11,0.287543498,0.092,0.031,7.02048466152646e-07
TUBA1A,7.61879202960787e-11,0.452766119,0.55,0.416,1.28003324889442e-06
ACTG1,8.7204071803224e-11,-0.074708772,0.943,0.964,1.46511561036597e-06
CCL4L2,1.3219981600979e-10,0.750463648,0.173,0.115,2.22108910878048e-06
DDIT4,1.64626686773753e-10,0.493458403,0.425,0.283,2.76589296448582e-06
GZMA,1.97509276042371e-10,-0.145485126,0.867,0.868,3.31835334678788e-06
IFITM1,2.9198198432277e-10,-0.119475113,0.938,0.969,4.90558931860686e-06
FTH1,3.21301673384158e-10,0.158381439,0.964,0.969,5.39818941452725e-06
TIMP1,3.44018298828478e-10,-0.333136268,0.228,0.337,5.77985143861726e-06
RPL21,3.50805065177868e-10,0.102205925,0.985,0.983,5.89387590005335e-06
CHMP1B,4.27104956906896e-10,0.443479167,0.234,0.123,7.17579038099277e-06
STAT1,4.34332963547577e-10,0.397322509,0.384,0.269,7.29722812056285e-06
RPS28,5.28450189707733e-10,-0.18055703,0.998,0.998,8.87849163727962e-06
TRAF3IP3,5.56461417819396e-10,-0.261698105,0.591,0.662,9.34910828078368e-06
TSC22D2,9.53542711995644e-10,0.30976449,0.186,0.089,1.60204711042388e-05
CPT1A,1.19914067029691e-09,-0.279346848,0.112,0.179,2.01467624016583e-05
DAZAP2,1.20685197069975e-09,-0.11287435,0.783,0.805,2.02763199597265e-05
HIST1H3A,1.43865505640944e-09,0.193255261,0.073,0.02,2.41708436027351e-05
NKG7,1.63463362505014e-09,0.281333403,0.977,0.922,2.74634795344674e-05
EVL,1.73542108316165e-09,-0.172925433,0.803,0.843,2.91568096181989e-05
ITGB2-AS1,3.36035596609254e-09,-0.320382756,0.22,0.32,5.64573405863208e-05
HEXIM1,4.24538950093363e-09,0.279569274,0.172,0.083,7.13267890051859e-05
HCST,4.84440601528445e-09,-0.146346493,0.899,0.92,8.13908654627941e-05
ARHGDIB,5.57379645779603e-09,-0.08224876,0.931,0.942,9.36453542874312e-05
UBB,1.16120193799108e-08,0.268820718,0.884,0.822,0.000195094
LENG8,1.25663509665189e-08,-0.304073779,0.251,0.341,0.000211127
CSKMT,1.48418032963046e-08,0.252650004,0.191,0.098,0.000249357
IL7R,1.95541627617776e-08,-0.6363539,0.38,0.542,0.000328529
SUN2,2.71091131891883e-08,0.281105623,0.824,0.763,0.00045546
HNRNPA1,4.08961324118954e-08,0.060243296,0.914,0.933,0.000687096
TAP1,4.27053385631096e-08,0.345494615,0.554,0.411,0.000717492
LDHA,5.58874314060715e-08,0.371927579,0.633,0.508,0.000938965
SRGN,5.88888619949201e-08,0.294363566,0.849,0.803,0.000989392
ANKRD37,6.21794727068276e-08,0.200311793,0.1,0.038,0.001044677
IKZF3,7.05193337311051e-08,0.281783506,0.432,0.354,0.001184795
PCED1B-AS1,7.23258981038652e-08,-0.228532016,0.805,0.845,0.001215147
KLF2,8.55637606192999e-08,0.319154536,0.905,0.872,0.001437557
GIMAP4,8.76301090260662e-08,-0.209388453,0.52,0.568,0.001472273
KLF13,9.56550006885685e-08,-0.214171329,0.49,0.552,0.0016071
FUS,9.75299662207748e-08,0.303662941,0.663,0.579,0.001638601
GAPDH,9.91882403017892e-08,0.203035294,0.965,0.962,0.001666462
ZFPM1,1.0049346311316e-07,-0.238553901,0.117,0.183,0.001688391
DDX3X,1.30779110298798e-07,0.292513043,0.332,0.223,0.00219722
AC004865.2,1.4781148588645e-07,-0.224505161,0.12,0.168,0.002483381
MYH9,1.48116309076374e-07,0.26585068,0.759,0.675,0.002488502
ZNF880,1.51079834828352e-07,-0.167568767,0.031,0.076,0.002538292
MSN,1.5805420501831e-07,0.289817676,0.766,0.698,0.002655469
ARL4C,1.67645511508038e-07,-0.164690269,0.847,0.854,0.002816612
NEU1,1.99698201652725e-07,0.306301411,0.204,0.112,0.003355129
PRMT2,2.06806671850825e-07,-0.180398937,0.716,0.718,0.003474559
ZRANB2,2.07431731973675e-07,-0.279736382,0.275,0.342,0.003485061
IER3,2.1671655249952e-07,0.292484578,0.122,0.063,0.003641055
CLDND1,2.27870618800339e-07,-0.309968522,0.26,0.339,0.003828454
SNHG10,2.61620016128736e-07,-0.162416572,0.029,0.069,0.004395478
TTC14,3.1064350016962e-07,-0.154202294,0.19,0.26,0.005219121
EEF2,3.12134778683211e-07,0.117882578,0.949,0.951,0.005244176
MT-CO1,3.34295842839849e-07,-0.158320977,0.997,1,0.005616504
MFSD11,3.55916507833253e-07,0.293266413,0.229,0.138,0.005979753
LINC00861,4.10942325710991e-07,-0.230153272,0.477,0.555,0.006904242
DDX5,4.26301942597935e-07,0.164463563,0.963,0.97,0.007162299
WAKMAR2,4.50035008238357e-07,0.244779137,0.152,0.094,0.007561038
AC011603.2,4.71750162291806e-07,0.153951011,0.07,0.022,0.007925874
SPCS1,5.23204606351376e-07,-0.205487226,0.524,0.58,0.008790361
PPP4R3B,6.07164450993424e-07,-0.220426349,0.229,0.298,0.01020097
SOCS1,6.19516272738835e-07,0.271014081,0.169,0.088,0.010408493
ACAA2,6.58115060999774e-07,-0.19031169,0.238,0.302,0.011056991
S100A11,6.69943540197709e-07,-0.169086573,0.511,0.557,0.011255721
S100A6,7.0989201515381e-07,-0.080544643,0.931,0.955,0.011926896
ATP5MC2,8.06029240446181e-07,0.02925246,0.865,0.889,0.013542097
C7orf50,9.0244733597977e-07,-0.230394218,0.157,0.223,0.015162018
NDUFC2,9.17992427572599e-07,-0.163024078,0.44,0.489,0.015423191
H1FX,9.50849585582012e-07,-0.353984448,0.548,0.603,0.015975224
