Supplementary Data 2D. Differential gene expression in CD8A+ T cells at 12  vs 24 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RPS27,0,0.983988683,1,0.998,0
RPS29,0,1.761873523,0.994,0.932,0
RPL37A,1.80646132230356e-250,1.167185771,0.985,0.929,3.03503566760221e-246
AL627171.2,2.37465104726323e-223,3.364689942,0.602,0.115,3.98965122450695e-219
MT-CO3,2.8850164555412e-221,1.535934052,0.994,0.944,4.84711614695478e-217
EEF1A1,5.10632273298568e-216,-0.314945806,0.999,0.999,8.57913282368925e-212
JUND,4.65037294733599e-208,-1.400569637,0.473,0.898,7.81309158881919e-204
CD52,5.5339938622635e-182,0.815173643,0.958,0.914,9.2976630879889e-178
HLA-A,3.10237219056899e-171,0.369151246,0.998,0.988,5.21229551737495e-167
RPS21,9.27010495865097e-159,0.768139123,0.996,0.99,1.55747033410295e-154
MT-ND3,2.98036945585072e-156,1.579000157,0.979,0.874,5.00731872277479e-152
RPL37,1.15659382196323e-154,0.774641496,0.997,0.986,1.94319328028043e-150
PABPC1,1.48913151533239e-144,-0.88980762,0.647,0.914,2.50188985890995e-140
PFN1,6.79884669117018e-136,0.372003362,0.989,0.984,1.1422742325835e-131
NKG7,2.67030625256204e-134,0.222960013,0.989,0.977,4.48638153492949e-130
HLA-C,2.32803982379798e-126,0.201359928,0.999,0.99,3.91133970796299e-122
RPS3A,8.95981585012643e-105,-0.135293205,0.995,0.998,1.50533866097974e-100
MT-ATP8,6.85285838531032e-102,1.551164739,0.843,0.565,1.15134873731599e-97
GZMH,2.34994401188604e-97,0.263636895,0.929,0.909,3.94814093436974e-93
RMRP,1.98518606200162e-95,1.626571478,0.231,0.018,3.33531110276893e-91
GNLY,6.86992995506289e-94,0.197028036,0.952,0.919,1.15421693175012e-89
ZFP36L2,1.16600446590226e-86,-0.733288805,0.629,0.885,1.95900410316238e-82
ATP5ME,1.92442078559667e-86,0.712145587,0.484,0.392,3.23321936188096e-82
PABPN1,6.02043111137732e-79,-0.730012135,0.215,0.581,1.0114926310225e-74
MTRNR2L12,1.60146013396402e-77,-0.276792606,0.932,0.969,2.69061317107295e-73
HCST,7.66718632096313e-76,0.428203872,0.906,0.899,1.28816397378502e-71
RPS15A,3.12975223515824e-75,-0.060922794,0.998,0.998,5.25829673028935e-71
RPL23A,3.01987636282108e-74,0.603453489,0.991,0.983,5.0736942771757e-70
MBD2,1.81825832422467e-71,-0.743666215,0.067,0.352,3.05485581052987e-67
CCL4,5.80203158413253e-68,-1.956266647,0.516,0.788,9.74799326450107e-64
SPON2,1.93924405076125e-66,0.202479011,0.59,0.64,3.25812392968397e-62
CTSW,4.907118034892e-66,0.281467274,0.938,0.937,8.24444901042205e-62
GRK2,6.01228983224946e-66,-0.664371846,0.187,0.532,1.01012481471623e-61
HSPA8,7.02979609737773e-64,-0.800879407,0.762,0.93,1.18107604232043e-59
TMSB4X,3.83607636370709e-63,0.108382231,0.997,0.996,6.44499189866428e-59
ATP5F1E,1.5642714980586e-61,0.472335229,0.922,0.92,2.62813254388825e-57
RPL10,2.66660159959253e-61,-0.057409974,0.997,0.998,4.4801573474754e-57
IL7R,9.63896216443576e-60,-0.226578028,0.313,0.38,1.61944203324685e-55
ACTB,5.55050476387943e-59,-0.015870931,0.993,0.991,9.32540305379382e-55
FGFBP2,8.65141970471018e-59,-0.017210015,0.842,0.837,1.45352502458836e-54
NDUFA3,1.58610206684189e-58,0.521810485,0.415,0.356,2.66481008250106e-54
MAZ,2.40075866562511e-57,-0.609581432,0.174,0.473,4.03351463411674e-53
CFL1,4.990987231232e-57,0.191323923,0.96,0.963,8.38535764719288e-53
PSMB1,1.03942357624979e-56,-0.051053116,0.308,0.476,1.74633555045727e-52
CD63,9.92556964066648e-56,0.247171284,0.348,0.396,1.66759495532838e-51
MT-ND5,1.03370257982695e-55,1.14373759,0.933,0.827,1.73672370436726e-51
RPS4X,3.51553608597575e-55,-0.102441184,0.99,0.993,5.90645217804787e-51
JUNB,5.59744050284166e-55,-0.742025769,0.765,0.897,9.40425978882426e-51
GSTP1,8.61976551484795e-54,0.209855298,0.655,0.729,1.4482068041496e-49
HLA-B,2.4114339760885e-53,0.009409402,0.999,0.998,4.05145022322629e-49
MAPKAPK2,1.86098407113109e-52,-0.462684332,0.074,0.27,3.12663933790734e-48
CTDNEP1,2.73283514882281e-51,-0.527318497,0.13,0.383,4.59143633353721e-47
LINC01871,3.70720870053053e-51,0.655156918,0.256,0.143,6.22848133776134e-47
PRELID1,5.89781877190593e-51,0.009968724,0.387,0.522,9.90892531867915e-47
TAGAP,1.03258511305942e-50,-0.844142577,0.312,0.663,1.73484624845113e-46
DUS1L,1.42168057205805e-50,-0.399186176,0.125,0.329,2.38856552911473e-46
ROMO1,1.50343824332642e-50,0.381162058,0.316,0.304,2.52592659261272e-46
PBXIP1,1.08232270104896e-49,-0.427918225,0.177,0.378,1.81841037003236e-45
ATP6V1F,1.18841820984017e-49,0.065762115,0.287,0.389,1.99666143435246e-45
DBI,3.64294268526371e-49,-0.000732942,0.437,0.581,6.12050800551156e-45
SIVA1,1.25118934952817e-48,0.003408808,0.201,0.312,2.10212322614229e-44
GZMK,1.77753993169715e-48,-0.385150156,0.118,0.166,2.98644483924439e-44
UBE2M,2.58147032042151e-48,-0.493589822,0.052,0.245,4.33712828534018e-44
NR4A1,3.05637263953565e-48,-0.632961002,0.024,0.173,5.13501167168384e-44
TCF7,4.99615461148339e-48,-0.288301753,0.069,0.152,8.39403936275325e-44
RHOG,6.95841068687412e-48,-0.06897557,0.31,0.477,1.16908257950172e-43
KDELR1,7.29005138585506e-48,-0.039835595,0.219,0.342,1.22480153333751e-43
EIF4B,7.85339069044568e-48,-0.497942891,0.452,0.733,1.31944816990178e-43
PET100,8.57846069382638e-48,0.420601278,0.351,0.336,1.44126718116977e-43
DCTN3,1.30378790003591e-47,-0.097952984,0.238,0.397,2.19049405085034e-43
CST7,1.6181351501088e-47,0.09734429,0.956,0.946,2.7186288656978e-43
LMAN2,2.28054611531754e-47,-0.026310108,0.331,0.478,3.831545528345e-43
EML4,3.08350374222286e-47,-0.31742849,0.274,0.486,5.18059463730863e-43
RAB7A,3.67168854055368e-47,-0.105626446,0.245,0.414,6.16880391698423e-43
RPS12,3.99751118966603e-47,0.119503458,0.999,0.999,6.7162185497579e-43
ATP5MF,8.14861335313482e-47,-0.063486113,0.311,0.463,1.36904852946018e-42
NDUFB7,8.61891946043144e-47,0.248912441,0.457,0.513,1.44806465854709e-42
S100A4,1.0368683913672e-46,0.172742569,0.977,0.97,1.74204258433603e-42
HDAC1,2.71324887766008e-46,-0.36062127,0.188,0.416,4.5585294393567e-42
PSMB6,5.67348707910602e-46,-0.058210767,0.24,0.388,9.53202564160603e-42
EIF3E,1.18870120760331e-45,-0.216310765,0.317,0.532,1.99713689889433e-41
CBX4,1.19935766206675e-45,-0.531618995,0.075,0.279,2.01504080803835e-41
MDH1,1.5839097700326e-45,-0.310231525,0.137,0.322,2.66112680463178e-41
CYC1,1.73233297537876e-45,-0.108927087,0.201,0.349,2.91049263193385e-41
PSMA2,2.65180096571123e-45,-0.174354788,0.199,0.367,4.45529080249144e-41
NDUFA13,2.79338513606004e-45,0.129610508,0.535,0.654,4.69316636709447e-41
SNRPC,4.35961385681966e-45,0.068207983,0.172,0.24,7.32458724084272e-41
ATP5MPL,4.44269653543829e-45,0.107301893,0.292,0.385,7.46417444918987e-41
NAXE,4.60770265086433e-45,0.072910721,0.211,0.292,7.74140122371716e-41
TALDO1,6.2975001098377e-45,-0.133061681,0.191,0.34,1.05804299345383e-40
ARL8A,6.55549765699566e-45,-0.352108122,0.095,0.281,1.10138916135184e-40
LTB,1.00330591850513e-44,-0.377484718,0.098,0.166,1.68565427368047e-40
RAB22A,1.24564771791701e-44,0.006525012,0.14,0.218,2.09281273087237e-40
CSNK1G2,2.13607394350423e-44,-0.484841345,0.133,0.373,3.58881783248146e-40
TUFM,3.33904702672477e-44,-0.034582882,0.35,0.51,5.60993290960028e-40
PSMB3,5.39933863634784e-44,-0.101430436,0.254,0.417,9.071428842928e-40
PRDX5,8.03665655500388e-44,0.085531987,0.299,0.405,1.3502386678062e-39
CDV3,1.28435055286375e-43,-0.394535146,0.225,0.462,2.15783736386639e-39
EMC4,1.29832048828872e-43,-0.128890674,0.183,0.325,2.18130825237387e-39
SH3BGRL3,1.49254645403263e-43,0.064073996,0.984,0.985,2.50762729742022e-39
NDUFB10,1.64882576955209e-43,-0.008428321,0.358,0.515,2.77019217542446e-39
BPTF,2.18880156952859e-43,-0.394963886,0.252,0.509,3.67740551696498e-39
SELENOT,2.45589835667924e-43,-0.158235196,0.277,0.452,4.12615482905678e-39
