Supplementary Data 2E. Differential gene expression in CD8A+ T cells at 12 vs 32 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RPS29,1.73124461449532e-315,1.671039904,0.973,0.932,2.90866407681359e-311
RPS27,2.55170013901533e-249,0.942077531,1,0.998,4.28711140355966e-245
AL627171.2,6.77188712660871e-161,4.168253379,0.684,0.115,1.13774475614153e-156
JUND,1.41897634740729e-138,-1.687995754,0.384,0.898,2.38402216127898e-134
MT-CO3,1.44007990416811e-135,1.754718221,0.988,0.944,2.41947824699284e-131
RPL37A,2.49619721938638e-130,1.136686962,0.955,0.929,4.19386094829106e-126
EEF1A1,2.21303710091641e-125,-0.310383198,1,0.999,3.71812363324966e-121
MT-ND3,2.5940193834365e-98,1.764736947,0.967,0.874,4.35821196611167e-94
HLA-A,1.64653209925111e-95,0.322475139,0.99,0.988,2.76633857995178e-91
NKG7,4.96929196381935e-87,0.143784744,0.991,0.977,8.3489074284129e-83
CD52,1.28406476954676e-84,0.668987777,0.906,0.914,2.15735721931551e-80
RPS21,4.02464969744719e-77,0.782759991,0.99,0.99,6.76181395668103e-73
RPL37,2.38547987422255e-75,0.798027679,0.995,0.986,4.00784473668131e-71
PFN1,5.08376384757152e-72,0.251623261,0.982,0.984,8.54123164030492e-68
RMRP,1.48096941883209e-63,1.95802939,0.265,0.018,2.48817672057979e-59
PABPC1,2.75546494649175e-61,-0.731301252,0.645,0.914,4.62945665660079e-57
JUNB,3.24744071242249e-61,-1.155701081,0.673,0.897,5.45602514094102e-57
HLA-C,3.2275762996718e-58,0.136376889,0.995,0.99,5.42265094107859e-54
GZMH,1.2723528564869e-57,0.175860664,0.902,0.909,2.13768003418365e-53
RPS3A,1.61193910784788e-57,-0.096721831,0.995,0.998,2.70821889509522e-53
MT-ATP8,1.10534354763601e-55,1.683864436,0.836,0.565,1.85708769438326e-51
TSC22D3,1.22863356066976e-48,0.426032889,0.906,0.902,2.06422724528126e-44
ATP5ME,4.09529724433274e-46,0.679296515,0.465,0.392,6.88050890020343e-42
RPS15A,1.3621054300735e-45,-0.039928598,0.997,0.998,2.28847333306648e-41
IER2,2.9896787033574e-45,-1.17604537,0.402,0.807,5.02295918951077e-41
HCST,1.12452530365429e-43,0.319459711,0.861,0.899,1.88931496266957e-39
GNLY,2.7845019697301e-43,0.060501039,0.943,0.919,4.67824175934354e-39
GZMB,2.84928485756145e-43,0.042424698,0.762,0.796,4.78708348918899e-39
TMSB4X,9.86040963862312e-43,0.076525887,0.993,0.996,1.65664742338507e-38
FGFBP2,9.85672458439623e-42,-0.0960835,0.802,0.837,1.65602829742441e-37
GRK2,1.30013097265116e-40,-0.65241681,0.177,0.532,2.18435004715121e-36
CST7,2.3766923844378e-39,0.076682892,0.936,0.946,3.99308087509395e-35
FOS,9.74049988656835e-39,-0.819588183,0.644,0.836,1.63650138594235e-34
LINC01871,9.94440712839049e-39,0.76807764,0.28,0.143,1.67075984164089e-34
CCL4,3.70702490502199e-38,-2.122504858,0.517,0.788,6.22817254292744e-34
GADD45B,4.27451607086841e-38,-1.272594501,0.262,0.66,7.18161445066602e-34
PABPN1,1.09629909907468e-37,-0.750662359,0.202,0.581,1.84189211635537e-33
NR4A1,1.28368129945607e-37,-0.711281024,0.007,0.173,2.15671295121614e-33
NR4A2,2.08046712026807e-37,-1.451586728,0.16,0.606,3.49539280876238e-33
HLA-B,3.82147671773673e-37,-0.039478309,1,0.998,6.42046303346949e-33
TNF,4.3699658203494e-36,-1.845824268,0.14,0.492,7.34197957476903e-32
MTRNR2L12,6.17434713298636e-36,0.15353295,0.959,0.969,1.03735206181304e-31
ATP5F1E,1.22145020494103e-35,0.448832897,0.898,0.92,2.05215848932143e-31
MBD2,1.51840105242596e-35,-0.772105674,0.059,0.352,2.55106560818085e-31
BTG2,2.12644601087916e-34,-1.017718445,0.195,0.555,3.57264194287808e-30
EIF4B,8.5935532635268e-34,-0.509101416,0.408,0.733,1.44380288380514e-29
PRDM1,1.29170100929942e-33,0.569044303,0.332,0.283,2.17018686572396e-29
MT-ND5,2.06207866600681e-33,1.314372049,0.921,0.827,3.46449836675803e-29
RPS12,2.49054426891309e-33,0.154429524,0.999,0.999,4.18436342620088e-29
PSMB1,2.52397574486892e-32,-0.003250283,0.303,0.476,4.24053164895427e-28
GNAS,2.81744675109071e-32,-0.487149923,0.515,0.806,4.7335922865075e-28
SPON2,6.32768948198658e-32,-0.023134261,0.515,0.64,1.06311510986856e-27
CTSW,2.00183535453484e-31,0.153653891,0.895,0.937,3.36328357915398e-27
