Supplementary Data 8. Differential gene expression between clone #5 and clone #4 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
CLECL1,7.43E-14,-7.567277069,0,0.155,1.25E-09,0.155
GZMK,6.08E-15,-5.993232379,0.006,0.179,1.02E-10,0.173
LEF1,2.39E-13,-5.125884118,0.003,0.157,4.01E-09,0.154
TCF7,1.70E-12,-2.954515582,0.019,0.175,2.85E-08,0.156
ITM2A,8.01E-07,-2.490391875,0.019,0.109,0.013464536,0.09
CMC1,3.55E-16,-2.224816911,0.1,0.329,5.97E-12,0.229
IL7R,8.65E-32,-2.103495474,0.184,0.558,1.45E-27,0.374
SELL,2.52E-20,-1.864908787,0.106,0.393,4.24E-16,0.287
LTB,6.69E-06,-1.81949632,0.034,0.122,0.112433616,0.088
BCR,3.77E-06,-1.477022316,0.05,0.15,0.063390322,0.1
NPDC1,9.66E-07,-1.390286867,0.081,0.199,0.016224535,0.118
YBX3,4.41E-06,-1.377619561,0.059,0.163,0.074125489,0.104
DUSP2,2.02E-15,-1.355453541,0.272,0.523,3.39E-11,0.251
FLT3LG,1.52E-11,-1.34851789,0.141,0.345,2.56E-07,0.204
AUTS2,1.46E-06,-1.2057483,0.081,0.2,0.024602218,0.119
OXNAD1,3.51E-05,-1.205057056,0.05,0.137,0.589514706,0.087
COL6A2,7.88E-08,-1.122962773,0.112,0.258,0.001323427,0.146
CAMK4,3.82E-06,-1.051132379,0.106,0.228,0.064179585,0.122
WAKMAR2,0.005737804,-1.00486161,0.05,0.1,1,0.05
SATB1,0.000449003,-0.983909436,0.059,0.132,1,0.073
EIF2AK2,0.003388679,-0.97243211,0.056,0.113,1,0.057
UBE4A,0.002533791,-0.949758908,0.047,0.103,1,0.056
HOPX,0.000279542,-0.936320737,0.075,0.155,1,0.08
SIK3,0.00024804,-0.925314381,0.069,0.149,1,0.08
IGLV2-14,0.002880108,-0.925098905,0.081,0.147,1,0.066
RILPL2,0.008318844,-0.923394292,0.075,0.128,1,0.053
CD55,0.002631466,-0.920314381,0.081,0.147,1,0.066
RERE,0.006800604,-0.918443638,0.062,0.116,1,0.054
PLP2,0.000326734,-0.901004738,0.091,0.177,1,0.086
HPCAL1,0.003126256,-0.898301859,0.047,0.102,1,0.055
PLEKHA2,0.019983151,-0.897801529,0.062,0.105,1,0.043
LYST,0.012695948,-0.877855481,0.088,0.141,1,0.053
DLG1,0.001479426,-0.859065425,0.053,0.117,1,0.064
ST3GAL1,0.000100825,-0.855680261,0.119,0.217,1,0.098
COG3,0.000543175,-0.85217715,0.078,0.157,1,0.079
PDE4D,0.000851933,-0.841356068,0.119,0.203,1,0.084
TSHZ1,0.033368954,-0.833661159,0.062,0.101,1,0.039
PIK3R1,3.61E-07,-0.826994854,0.244,0.408,0.006056898,0.164
WDR54,0.016230091,-0.819669086,0.072,0.119,1,0.047
STN1,0.000864001,-0.803459659,0.075,0.15,1,0.075
NME4,0.012948642,-0.797668827,0.081,0.133,1,0.052
LAG3,0.008897674,-0.79707559,0.078,0.134,1,0.056
C16orf72,0.02169757,-0.788719115,0.062,0.105,1,0.043
KLRG1,7.57E-10,-0.786504478,0.356,0.556,1.27E-05,0.2
MAPKAPK2,0.005375525,-0.770781296,0.122,0.186,1,0.064
BCL2,0.015180622,-0.765695014,0.075,0.124,1,0.049
PPIP5K2,0.018756876,-0.75465244,0.062,0.108,1,0.046
ABLIM1,0.002897688,-0.754020542,0.084,0.154,1,0.07
LDLRAP1,0.00628467,-0.752173058,0.066,0.121,1,0.055
TC2N,0.000312931,-0.751929037,0.153,0.253,1,0.1
GGA2,0.040185699,-0.741132894,0.066,0.104,1,0.038
RIC8A,0.004674193,-0.737477611,0.103,0.171,1,0.068
AC008105.3,0.042173026,-0.736130523,0.084,0.126,1,0.042
CD69,1.58E-06,-0.733469636,0.328,0.486,0.026502885,0.158
ATF7IP2,0.008566102,-0.727169496,0.075,0.131,1,0.056
SELENOM,0.006535659,-0.725417423,0.109,0.173,1,0.064
PAG1,0.007226176,-0.725191104,0.059,0.113,1,0.054
GANAB,0.059379131,-0.724590757,0.066,0.1,1,0.034
PBXIP1,0.000112524,-0.720471517,0.188,0.3,1,0.112
NEK9,0.005765776,-0.71924616,0.056,0.111,1,0.055
AK2,0.004985615,-0.714149222,0.078,0.14,1,0.062
PLEC,0.05476045,-0.708807954,0.081,0.119,1,0.038
DYNLT3,0.002831865,-0.706901925,0.075,0.141,1,0.066
RAP1GDS1,0.016448212,-0.702571417,0.091,0.143,1,0.052
AC007952.4,0.026359801,-0.701886782,0.125,0.177,1,0.052
BORCS5,0.085511892,-0.701563722,0.069,0.1,1,0.031
AKAP17A,0.005899498,-0.700167769,0.109,0.176,1,0.067
NGLY1,0.014549367,-0.693484663,0.1,0.153,1,0.053
SNHG16,0.000769696,-0.691949418,0.141,0.233,1,0.092
GAS5,2.54E-07,-0.687389823,0.309,0.49,0.004265172,0.181
UBE2G1,0.014179006,-0.679331582,0.119,0.177,1,0.058
CPSF6,0.03468792,-0.675580797,0.081,0.125,1,0.044
OIP5-AS1,0.024095749,-0.668201502,0.103,0.152,1,0.049
MCRS1,0.031280465,-0.658753967,0.1,0.146,1,0.046
EBLN3P,0.006695498,-0.649720635,0.119,0.185,1,0.066
ZNF32,0.009342736,-0.649454855,0.084,0.142,1,0.058
COX16,0.004483894,-0.644444294,0.1,0.168,1,0.068
SMARCA4,0.025349135,-0.64411263,0.078,0.124,1,0.046
UHRF2,0.058987672,-0.643289566,0.078,0.115,1,0.037
ICE1,0.106855386,-0.641811538,0.106,0.138,1,0.032
TTC3,0.004725406,-0.637081413,0.156,0.23,1,0.074
CISD2,0.037006755,-0.625399013,0.066,0.105,1,0.039
AFG3L2,0.027963779,-0.62464231,0.059,0.102,1,0.043
RNASEH2B,0.00440545,-0.617135121,0.119,0.19,1,0.071
GABARAPL1,0.001081731,-0.617124802,0.175,0.266,1,0.091
AAMP,0.018483299,-0.614591667,0.091,0.142,1,0.051
IMMT,0.018137363,-0.614017495,0.075,0.124,1,0.049
CAMK1D,0.037174759,-0.613365123,0.088,0.131,1,0.043
XPA,0.017107645,-0.611932207,0.097,0.151,1,0.054
CLDND1,0.001670511,-0.610229597,0.144,0.231,1,0.087
GOSR1,0.079658475,-0.605205613,0.072,0.105,1,0.033
LEPROTL1,0.00031632,-0.604556375,0.166,0.268,1,0.102
USP8,0.029390471,-0.602990788,0.1,0.148,1,0.048
PAF1,0.030701079,-0.602526516,0.078,0.124,1,0.046
TRMT10C,0.074752378,-0.601313471,0.078,0.113,1,0.035
VAV3,0.004058362,-0.597521927,0.116,0.191,1,0.075
RGS10,0.0002964,-0.59397432,0.244,0.355,1,0.111
THYN1,0.023807631,-0.593216005,0.094,0.144,1,0.05
USP36,0.06904443,-0.592719734,0.081,0.118,1,0.037
FASTK,0.037919805,-0.589133032,0.091,0.135,1,0.044
PARN,0.093496111,-0.588719664,0.075,0.106,1,0.031
NCOA3,0.018467723,-0.585277594,0.056,0.101,1,0.045
EMB,0.000166387,-0.582109085,0.241,0.351,1,0.11
FXYD5,2.11E-12,-0.581247441,0.713,0.831,3.54E-08,0.118
CRELD2,0.099182338,-0.578753916,0.112,0.147,1,0.035
TTC39C,0.003269531,-0.578275403,0.191,0.273,1,0.082
SNHG29,1.01E-09,-0.578113069,0.575,0.766,1.70E-05,0.191
ZMYND11,0.027613095,-0.577427084,0.112,0.165,1,0.053
SCRN2,0.054027356,-0.572438822,0.1,0.141,1,0.041
RHOH,0.005909578,-0.571804301,0.175,0.246,1,0.071
6-Mar,0.082368947,-0.570614761,0.106,0.143,1,0.037
COX19,0.031366904,-0.569950045,0.072,0.115,1,0.043
API5,0.097641351,-0.56787658,0.112,0.147,1,0.035
H2AFX,0.03668082,-0.567091438,0.097,0.143,1,0.046
ISY1,0.030305867,-0.564240933,0.097,0.144,1,0.047
UTY,0.052141509,-0.564172343,0.094,0.134,1,0.04
USP3,0.084018992,-0.561410579,0.153,0.191,1,0.038
TRIM27,0.007228971,-0.560587891,0.066,0.124,1,0.058
ZFP36L2,9.56E-10,-0.556805674,0.691,0.818,1.61E-05,0.127
LETMD1,0.017884239,-0.555183394,0.116,0.171,1,0.055
PDZD8,0.063961044,-0.553251018,0.066,0.101,1,0.035
OSGEP,0.037311681,-0.552265386,0.072,0.115,1,0.043
RGS14,0.008242971,-0.546471669,0.112,0.179,1,0.067
TXNIP,2.56E-15,-0.546362224,0.838,0.934,4.31E-11,0.096
SNX2,0.023415496,-0.543992963,0.078,0.127,1,0.049
ANXA4,0.042731617,-0.543845865,0.062,0.102,1,0.04
PTGES2,0.053879965,-0.543074999,0.078,0.118,1,0.04
OTUD4,0.073425319,-0.540955734,0.078,0.114,1,0.036
NPLOC4,0.094556496,-0.540686005,0.069,0.1,1,0.031
MRPL22,0.102346839,-0.54000415,0.078,0.111,1,0.033
GORASP2,0.040809683,-0.539341991,0.109,0.154,1,0.045
COTL1,0.003883546,-0.537672243,0.281,0.363,1,0.082
SCML4,0.035272177,-0.53584329,0.094,0.142,1,0.048
NFYC,0.06837234,-0.535469109,0.072,0.108,1,0.036
DHRS4,0.130102378,-0.535438348,0.084,0.113,1,0.029
RABEP1,0.014664454,-0.534902576,0.066,0.115,1,0.049
UVRAG,0.009828309,-0.530716521,0.088,0.147,1,0.059
ARSA,0.019119857,-0.530655953,0.088,0.14,1,0.052
ZBTB20,0.033983578,-0.528217771,0.075,0.119,1,0.044
PI4KB,0.125192431,-0.527346997,0.072,0.1,1,0.028
ZFR,0.03809784,-0.526948297,0.147,0.198,1,0.051
CSKMT,0.175318202,-0.526496691,0.081,0.108,1,0.027
PATL2,0.010335941,-0.524560763,0.194,0.266,1,0.072
IREB2,0.061834606,-0.523807107,0.088,0.127,1,0.039
GMIP,0.114085296,-0.523659872,0.088,0.119,1,0.031
PTRHD1,0.014907506,-0.522651361,0.159,0.226,1,0.067
ATP5F1A,0.001489599,-0.522327171,0.281,0.382,1,0.101
BCAP29,0.167001326,-0.520717693,0.091,0.117,1,0.026
ATP2B1-AS1,0.098289828,-0.519297233,0.078,0.111,1,0.033
PEPD,0.01821606,-0.518239758,0.106,0.162,1,0.056
S1PR1,0.005812219,-0.51740295,0.219,0.301,1,0.082
DANCR,0.001448582,-0.517281696,0.203,0.298,1,0.095
SURF1,0.025280227,-0.516885554,0.128,0.185,1,0.057
MED28,0.061873548,-0.516556423,0.081,0.118,1,0.037
YLPM1,0.027996787,-0.516279665,0.066,0.111,1,0.045
RRP7A,0.045662675,-0.515066219,0.069,0.109,1,0.04
SRRT,0.029601686,-0.513870269,0.172,0.23,1,0.058
NINJ1,0.029950351,-0.513637816,0.062,0.105,1,0.043
MIIP,0.194868575,-0.513413995,0.084,0.109,1,0.025
KCNA3,0.029224315,-0.512948407,0.138,0.191,1,0.053
CDC5L,0.066183982,-0.512563817,0.094,0.132,1,0.038
ASCC2,0.03239614,-0.512115837,0.088,0.136,1,0.048
CWC25,0.057862464,-0.509453375,0.094,0.136,1,0.042
POLE4,0.058541839,-0.50774354,0.138,0.181,1,0.043
RANBP2,0.092070812,-0.50724926,0.084,0.118,1,0.034
ESD,0.107294522,-0.505446692,0.081,0.114,1,0.033
TOMM70,0.053356137,-0.504863362,0.066,0.103,1,0.037
KANSL2,0.048010879,-0.503997218,0.069,0.108,1,0.039
RNASEH2C,0.059510884,-0.503817089,0.116,0.159,1,0.043
NSRP1,0.134403493,-0.501615707,0.091,0.12,1,0.029
NFKBIZ,0.06014075,-0.501481163,0.072,0.11,1,0.038
ITGB2-AS1,0.022534835,-0.501364125,0.153,0.215,1,0.062
GMPS,0.088859141,-0.497714694,0.078,0.112,1,0.034
CHMP5,0.082512766,-0.495839773,0.078,0.113,1,0.035
DDX50,0.050088237,-0.494851733,0.081,0.124,1,0.043
TMEM14B,0.022268428,-0.494715558,0.178,0.239,1,0.061
RAB9A,0.065717869,-0.49396534,0.088,0.127,1,0.039
CTSH,0.020838143,-0.493957271,0.081,0.131,1,0.05
ABRACL,0.008708454,-0.493469681,0.2,0.277,1,0.077
