Supplementary Data 9. Gene expression in each cluster within cells expressing CD4,,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
KLRB1,1.22826957081441e-79,1.277709211,0.369,0.098,2.06361570592529e-75,0,KLRB1
S100A4,9.43546404956754e-57,0.332343211,0.949,0.788,1.58525231496784e-52,0,S100A4
CRIP1,2.06149369247661e-53,0.513297064,0.968,0.86,3.46351555272995e-49,0,CRIP1
SH3BGRL3,1.56813062425973e-41,0.318303184,0.973,0.904,2.63461626181878e-37,0,SH3BGRL3
S100A11,4.33197365863808e-37,0.502547384,0.67,0.448,7.27814894387783e-33,0,S100A11
S100A10,2.21472564672636e-36,0.259322274,0.909,0.748,3.72096055906495e-32,0,S100A10
IL7R,1.45390573068272e-34,0.517534851,0.895,0.814,2.44270701812003e-30,0,IL7R
AHNAK,9.113247619745e-34,0.291544521,0.807,0.618,1.53111673259336e-29,0,AHNAK
ANXA1,5.85289104497064e-30,0.488997899,0.748,0.575,9.83344224465517e-26,0,ANXA1
TNFRSF4,1.0305230593398e-25,0.421445106,0.275,0.121,1.7313817919968e-21,0,TNFRSF4
CD99,1.61336858289948e-24,0.323473344,0.783,0.632,2.71062055612942e-20,0,CD99
LIMS1,7.38604603578702e-24,0.558373005,0.373,0.221,1.24092959447258e-19,0,LIMS1
TRADD,3.4371856633558e-22,0.420913817,0.571,0.384,5.77481563300407e-18,0,TRADD
LTB,6.16838072955163e-20,0.343075317,0.973,0.946,1.03634964637197e-15,0,LTB
ITGA4,1.2475634000349e-19,0.487170682,0.528,0.398,2.09603126839864e-15,0,ITGA4
IL10RA,2.2008988780038e-19,0.27457467,0.589,0.43,3.69773020493418e-15,0,IL10RA
COTL1,4.53935703546252e-19,0.328223872,0.761,0.624,7.62657375528057e-15,0,COTL1
ERN1,4.05791600394905e-16,0.367557901,0.329,0.193,6.81770467823481e-12,0,ERN1
AQP3,2.30191331137401e-15,0.424183095,0.566,0.435,3.86744455443947e-11,0,AQP3
ARPC1B,1.51835485792768e-14,0.26550417,0.817,0.728,2.55098799680429e-10,0,ARPC1B
PLP2,3.82216092320073e-14,0.331017755,0.686,0.547,6.42161256706954e-10,0,PLP2
TAGLN2,8.03614678423031e-14,0.29370079,0.883,0.804,1.35015302121853e-09,0,TAGLN2
SSBP4,2.26776399799695e-13,0.281418563,0.406,0.273,3.81007029303468e-09,0,SSBP4
ITM2A,6.66054303307016e-13,0.317046133,0.392,0.261,1.11903783498612e-08,0,ITM2A
CD82,9.40418202802074e-13,0.301868567,0.421,0.292,1.57999662252776e-08,0,CD82
ARHGAP15,1.19213039804269e-12,0.307570492,0.639,0.532,2.00289828175152e-08,0,ARHGAP15
PTGER2,1.58245892495999e-12,0.324699531,0.38,0.248,2.65868923982527e-08,0,PTGER2
YWHAH,1.87893467528401e-12,0.257726857,0.271,0.162,3.15679814794466e-08,0,YWHAH
TNF,2.86717709567727e-11,0.304837825,0.352,0.236,4.81714423844738e-07,0,TNF
NPDC1,5.29271138669052e-11,0.26580525,0.307,0.199,8.89228440077874e-07,0,NPDC1
CMTM6,6.91984241004416e-11,0.289426588,0.308,0.204,1.16260272331152e-06,0,CMTM6
MIF,2.26565707632971e-10,0.258048184,0.901,0.833,3.80653045394154e-06,0,MIF
CORO1B,7.80423020968637e-10,0.319328035,0.559,0.451,1.31118871752941e-05,0,CORO1B
CCDC167,1.01750428878753e-09,0.255808579,0.349,0.242,1.70950895559193e-05,0,CCDC167
RILPL2,1.47651565894443e-09,0.280527865,0.302,0.201,2.48069395859254e-05,0,RILPL2
FKBP11,1.85461010868094e-09,0.286054439,0.287,0.186,3.11593044359485e-05,0,FKBP11
TIMP1,3.26174112303895e-09,0.267264927,0.536,0.418,5.48005126081774e-05,0,TIMP1
SEC61B,1.15378898018219e-08,0.269672218,0.516,0.406,0.000193848,0,SEC61B
PAXX,2.2129991217657e-08,0.284103091,0.472,0.362,0.000371806,0,PAXX
CAPNS1,4.71999927623169e-08,0.264283302,0.442,0.341,0.000793007,0,CAPNS1
OST4,4.77096562153333e-08,0.254055585,0.823,0.744,0.00080157,0,OST4
IFITM2,1.1577450130156e-07,0.261550888,0.746,0.645,0.001945127,0,IFITM2
GIMAP4,1.52546867590286e-07,0.263338527,0.611,0.513,0.00256294,0,GIMAP4
IFITM3,1.81228693340769e-07,0.267507717,0.481,0.378,0.003044823,0,IFITM3
MALAT1,1.28147751721465e-49,0.624974215,1,0.999,2.15301037667234e-45,1,MALAT1
CCR7,4.04814108152318e-44,0.777730854,0.595,0.366,6.8012818310671e-40,1,CCR7
LEF1,4.82594018024101e-39,0.595998402,0.744,0.617,8.10806209682293e-35,1,LEF1
BCL2,1.72118325435295e-38,0.813256091,0.586,0.403,2.89175998563839e-34,1,BCL2
SELL,5.13109650517361e-34,0.586996224,0.743,0.561,8.62075523834218e-30,1,SELL
TSHZ2,3.09119087190658e-32,0.689234597,0.484,0.272,5.19350978389025e-28,1,TSHZ2
TCF7,5.18944143089817e-32,0.430638384,0.815,0.7,8.71878054805202e-28,1,TCF7
ADTRP,1.04240705592322e-31,0.621687286,0.299,0.12,1.7513480946566e-27,1,ADTRP
